id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm174016,Cheaper by the Dozen 2,MOVIE,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,",2005,PG,94,"['comedy', 'family']","['US', 'CA']",0,tt0452598,5.5,60307,21.5,6.129
tm145073,Waking Sleeping Beauty,MOVIE,"By the mid-1980s, the fabled animation studios of Walt Disney had fallen on hard times. The artists were polarized between newcomers hungry to innovate and old timers not yet ready to relinquish control. These conditions produced a series of box-office flops and pessimistic forecasts: maybe the best days of animation were over. Maybe the public didn't care. Only a miracle or a magic spell could produce a happy ending. Waking Sleeping Beauty is no fairy tale. It's the true story of how Disney regained its magic with a staggering output of hits - ""Little Mermaid,"" ""Beauty and the Beast ,"" ""Aladdin,"" ""The Lion King,"" and more - over a 10-year period.",2010,PG,86,"['documentation', 'drama', 'history']",['US'],0,tt1159961,7.5,3113,7.583,7.3
tm106045,Diary of a Wimpy Kid,MOVIE,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!",2010,PG,92,"['comedy', 'drama', 'family', 'animation']","['US', 'GB']",0,tt1196141,6.2,52938,22.474,6.241
ts21763,That's So Raven,SHOW,"No ordinary teenager; Raven Baxter can see glimpses of the future! Watch her schemes and misadventures as she enlists the help of friends, including best friends Eddie and Chelsea, to change life's little outcomes. Raven's younger brother, Cory, is obsessed with money and creates get-rich-quick schemes to try to earn cash.",2003,TV-G,22,"['comedy', 'scifi', 'fantasy', 'family']",['US'],4,tt0300865,6.6,20501,39.729,7.273
tm21946,Invincible,MOVIE,"Inspired by the true story of Vince Papale, a man with nothing to lose who ignored the staggering odds and made his dream come true. When the coach of Papale's beloved hometown football team hosted an unprecedented open tryout, the public consensus was that it was a waste of time – no one good enough to play professional football was going to be found this way.",2006,PG,105,"['drama', 'sport']",['US'],0,tt0445990,7,72572,13.695,6.948
tm149926,G-Force,MOVIE,"A team of trained secret agent animals, guinea pigs Darwin, Hurley, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?",2009,PG,88,"['animation', 'action', 'fantasy', 'scifi', 'comedy', 'family']",['US'],0,tt0436339,5.1,47752,15.639,5.447
tm118639,Cadet Kelly,MOVIE,Hyperactive teenager Kelly is enrolled into a military school when her new stepfather becomes the Commandant. At first she has problems fitting in and taking orders until she tries out for the drill team.,2002,G,101,"['comedy', 'drama', 'family']","['CA', 'US']",0,tt0294425,5.5,14675,16.336,6.169
tm98015,The Last Song,MOVIE,"A drama centered on a rebellious girl who is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.",2010,PG,107,"['drama', 'romance', 'music']",['US'],0,tt1294226,6,89378,15.081,7.242
tm55791,The Luck of the Irish,MOVIE,A teenager must battle for a gold charm to keep his family from being controlled by an evil leprechaun.,2001,G,86,"['comedy', 'fantasy', 'sport', 'drama', 'family']",['US'],0,tt0274636,6.1,8082,8.351,6.12
ts21685,Lizzie McGuire,SHOW,"Lizzie McGuire is all about the ordinary and not-so-ordinary adventures of a junior high student and her two best friends as they try to deal with the ups and downs of school, popularity, boys, parents, a bratty little brother--just life in general. And if Lizzie leaves anything unsaid, you can bet that her cartoon alter ego will say it for her!",2001,TV-PG,22,"['comedy', 'drama', 'family']",['US'],2,tt10856734,6.6,19673,33.678,7.4
tm76049,Around the World in 80 Days,MOVIE,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",2004,PG,115,"['action', 'western', 'comedy', 'family']","['GB', 'US', 'DE', 'IE']",0,tt0327437,5.8,91533,21.933,5.9
tm150254,Freaky Friday,MOVIE,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",2003,PG,93,"['fantasy', 'family', 'music', 'romance', 'comedy']",['US'],0,tt0322330,6.3,142686,42.399,6.441
tm63076,Bedtime Stories,MOVIE,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,2008,PG,99,"['fantasy', 'scifi', 'comedy', 'family', 'romance']",['US'],0,tt0960731,6,97267,21.223,6.113
tm29915,Atlantis: The Lost Empire,MOVIE,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea. The underwater expedition takes an unexpected turn when the team's mission must switch from exploring Atlantis to protecting it.",2001,PG,95,"['animation', 'scifi', 'action', 'family', 'fantasy']",['US'],0,tt0230011,6.9,124051,35.017,7
tm103078,Ramona and Beezus,MOVIE,"Ramona is a little girl with a very big imagination and a nose for mischief. Her playful antics keep everyone in her loving family on their toes, including her older sister Beezus, who's just trying to survive her first year of high school. Through all the ups and downs of childhood, Ramona and Beezus learn that anything's possible when you believe in yourself and rely on each other.",2010,G,103,"['comedy', 'drama', 'family', 'fantasy']",['US'],0,tt0493949,6.5,18519,11.792,6.53
ts21258,Wolverine and the X-Men,SHOW,"Wolverine and the X-Men must join together again to not only battle the increasingly powerful Mutant Response Division, but also to prevent a catastrophic future that Xavier has warned Wolverine must never come to pass.",2009,TV-Y7,23,"['animation', 'action', 'drama', 'family', 'scifi']",['US'],1,tt0772145,8,11313,10.268,7.638
tm68147,Meet the Robinsons,MOVIE,"Lewis, a brilliant young inventor, is keen on creating a time machine to find his mother, who abandoned him in an orphanage. Things take a turn when he meets Wilbur Robinson and his family.",2007,G,91,"['comedy', 'family', 'drama', 'animation', 'music', 'scifi', 'fantasy']",['US'],0,tt0396555,6.8,103595,53.794,6.9
tm133143,The Lizzie McGuire Movie,MOVIE,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",2003,PG,94,"['comedy', 'family', 'music', 'romance']",['US'],0,tt0306841,5.5,40461,15.579,6.317
tm79318,Underdog,MOVIE,A lab accident gives a hound named Shoeshine some serious superpowers -- a secret that the dog eventually shares with the young boy who becomes his owner and friend.,2007,PG,81,"['scifi', 'fantasy', 'documentation', 'family', 'action', 'comedy']",['US'],0,tt0467110,4.8,22044,12.141,5.4
tm119103,Double Teamed,MOVIE,"Heather and Heidi play volleyball for their school team, when their family decides that they need to go to a bigger school so that they will have a better chance for scholarships. But at the new school, the twins are discovered by the basketball coach. Inspired by the true story of Heather and Heidi Burge.",2002,G,92,"['drama', 'family', 'sport']",['US'],0,tt0285528,5.9,3732,3.864,6.2
tm52052,The Crimson Wing: Mystery of the Flamingos,MOVIE,"In the remote and forgotten wilderness of Lake Natron, in northern Tanzania, one of nature's last great mysteries unfolds: the birth, life and death of a million crimson-winged flamingos.",2008,G,78,['documentation'],"['GB', 'US']",0,tt1223255,7.3,1253,3.855,7.2
ts20539,The Super Hero Squad Show,SHOW,"The Super Hero Squad Show is an American cartoon series by Marvel Animation. It is based on the Marvel Super Hero Squad action figure line from Hasbro, which portray the Avengers, the X-Men, and various other characters of the Marvel Universe in a cartoonish super-deformed-style. It is also a self-aware parody of the Marvel characters, with influences taken from on the comedic Mini Marvels series of parody comic books, in that the heroes tend to find themselves in comedic situations, and have cartoonish bents in comparison to their usually serious personalities, and is an overall comedic take on the Avengers. The series' animation was produced by Film Roman and Marvel Animation.",2009,TV-Y7,23,"['action', 'family', 'scifi', 'animation', 'comedy']",['US'],2,tt1388589,6,1925,20.439,7.665
tm185245,Go Figure,MOVIE,"Katelin Kingsford, an Olympic hopeful figure skater wants to train with a Russian figure skating coach. In order to go to go to the school that Natasha is at, Katelin gets a scholarship playing on the girls hockey team.",2005,G,92,"['comedy', 'drama', 'family', 'romance', 'sport', 'action']",['US'],0,tt0447987,5.6,3831,11.072,5.9
tm84279,The Pixar Story,MOVIE,"A look at the first years of Pixar Animation Studios - from the success of ""Toy Story"" and Pixar's promotion of talented people, to the building of its East Bay campus, the company's relationship with Disney, and its remarkable initial string of eight hits. The contributions of John Lasseter, Ed Catmull and Steve Jobs are profiled. The decline of two-dimensional animation is chronicled as three-dimensional animation rises. Hard work and creativity seem to share the screen in equal proportions.",2007,G,87,['documentation'],['US'],0,tt1059955,7.7,6806,8.33,7.6
tm185472,Twitches,MOVIE,"Twins separated at birth, Camryn and Alex meet by chance for the first time on their 21st birthday and discover they're witches with the power to save their homeland of Coventry from the evil that threatens it. But when Camryn leaves Alex to face the darkness alone, will Coventry be doomed? Or will the sisters multiply their magic by standing together?",2005,PG,86,"['comedy', 'drama', 'family', 'fantasy']",['US'],0,tt0467421,5.7,8787,21.407,6.74
tm51636,High School Musical 3: Senior Year,MOVIE,"It's almost graduation day for high school seniors Troy, Gabriella, Sharpay, Chad, Ryan and Taylor — and the thought of heading off in separate directions after leaving East High has these Wildcats thinking they need to do something they'll remember forever. Together with the rest of the Wildcats, they stage a spring musical reflecting their hopes and fears about the future and their unforgettable experiences growing up together. Will their final show break them apart or bring them together for the greatest moment in Wildcat history?",2008,G,112,"['comedy', 'romance', 'drama', 'family', 'music']",['US'],0,tt0962726,4.9,64311,18.035,6.6
ts21443,Great Migrations,SHOW,"Shot from land and air, in trees and cliff-blinds, on ice floes and underwater, this documentary tells the powerful stories of many of the planet's species and their movements, while revealing new scientific insights with breathtaking high-definition clarity and emotional impact. The beauty of these stories is underscored by a new focus into these species; fragile existence and their life-and-death quest for survival in an ever-changing world.",2010,TV-PG,50,['documentation'],['US'],1,tt1769803,8,846,10.912,8.1
ts21721,Lilo & Stitch: The Series,SHOW,"Lilo & Stitch: The Series is the animated television spinoff of the feature film, Lilo & Stitch and the follow-up to Stitch! The Movie. It was aired on Disney Channel worldwide, but has only been released on DVD in Japan, in four box sets.",2003,TV-Y7,23,"['comedy', 'action', 'scifi', 'family', 'animation']",['US'],4,tt0364774,6.8,10606,62.013,7.374
ts22233,Shake It Up,SHOW,"Best pals CeCe and Rocky dream of dancing stardom. And they seem on the verge of realizing that goal when they win places as backup dancers on the local TV show ""Shake It Up, Chicago."" While they get to show off their moves, they find out they need to keep putting their best feet forward to keep up with the rest of the crew on the show.",2010,TV-G,25,"['comedy', 'family']",['US'],3,tt0453993,8,88,41.672,7.8
tm179262,Chicken Little,MOVIE,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.",2005,G,81,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],0,tt0491675,5.7,95315,47.59,5.9
ts41271,Handy Manny,SHOW,"Handy Manny is a Disney animated children's television program that premiered on September 16, 2006.",2006,TV-Y,21,"['comedy', 'animation', 'family']",['US'],4,tt0451460,5.5,2200,25.605,7.2
